nyt_name,slug,state_id
Patrick T. McHenry,patrick-t-mchenry,NC
Ander Crenshaw,ander-crenshaw,FL
Ben Chandler,ben-chandler,KY
Randy Neugebauer ,randy-neugebauer,TX
Louie Gohmert ,louie-gohmert,TX
Charlie Dent ,charlie-dent,PA
Ted Poe ,ted-poe,TX
Geoff Davis,geoff-davis,KY
Charlie Melancon,charlie-melancon,LA
Joe Donnelly,joe-donnelly,IN
Claire McCaskill,claire-mccaskill,MO
John Barrow,john-barrow,GA
Dean Heller,dean-heller,NV
Melissa Bean,melissa-bean,IL
Al Green ,al-green,TX
John Salazar,john-salazar,CO
Connie Mack,connie-mack,FL
Tom Price,tom-price,GA
Lynn Westmoreland,lynn-westmoreland,GA
Daniel Lipinski,daniel-lipinski,IL
Charles Boustany Jr.,charles-boustany-jr,LA
Jeff Fortenberry,jeff-fortenberry,NE
Brian Higgins,brian-higgins,NY
Barney Frank,barney-frank,MA
Virginia Foxx,virginia-foxx,NC
Dan Boren,dan-boren,OK
Michael McCaul ,michael-mccaul,TX
Kenny Marchant ,kenny-marchant,TX
Henry Cuellar ,henry-cuellar,TX
Cathy McMorris Rodgers ,cathy-mcmorris-rodgers,WA
Dave Reichert ,dave-reichert,WA
Alan Grayson,alan-grayson,FL
G. K. Butterfield,g-k-butterfield,NC
Mike D. Rogers,mike-d-rogers,AL
Steve Scalise,steve-scalise,LA
Gerald E. Connolly ,gerald-e-connolly,VA
Jean Schmidt,jean-schmidt,OH
Tim Walz,tim-walz,MN
Eric Massa,eric-massa,NY
Christopher Carney,christopher-carney,PA
Paul W. Hodes,paul-w-hodes,NH
John Campbell,john-campbell,CA
Peter Welch ,peter-welch,VT
Jim Risch,jim-risch,ID
Jon Tester,jon-tester,MT
Timothy V. Johnson,timothy-v-johnson,IL
Bruce Braley,bruce-braley,IA
Hank Johnson,hank-johnson,GA
Joe Sestak,joe-sestak,PA
Harry E. Mitchell,harry-e-mitchell,AZ
Bob Corker,bob-corker,TN
Christopher S. Murphy,christopher-s-murphy,CT
Joe Courtney,joe-courtney,CT
Ed Perlmutter,ed-perlmutter,CO
Patrick J. Murphy,patrick-j-murphy,PA
Michele Bachmann,michele-bachmann,MN
Michael Arcuri,michael-arcuri,NY
Brad Ellsworth,brad-ellsworth,IN
Phil Hare,phil-hare,IL
Dina Titus,dina-titus,NV
Vern Buchanan,vern-buchanan,FL
John A. Yarmuth,john-yarmuth,KY
Jerry McNerney,jerry-mcnerney,CA
Mary Jo Kilroy,mary-jo-kilroy,OH
Steve Kagen,steve-kagen,WI
Carol Shea-Porter,carol-shea-porter,NH
Gabrielle Giffords,gabrielle-giffords,AZ
Peter Roskam,peter-roskam,IL
Betty Sutton,betty-sutton,OH
John Hall,john-hall,NY
Charlie Wilson,charlie-wilson,OH
Albio Sires,albio-sires,NJ
Keith Ellison,keith-ellison,MN
Zack Space,zack-space,OH
Mary Fallin,mary-fallin,OK
